time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Low,Moving,Very high,High,-2179.0,4095.0,-1293.0,-17.0,49.0,-66.0,0.0,0.0,0.0
0.0,Low,Moving,Very high,High,-2179.0,4095.0,-1293.0,-17.0,49.0,-66.0,0.0,0.0,0.0
0.020954132080078125,Low,Moving,Very high,High,-1171.0,1713.0,-3362.0,2.0,32.0,-41.0,,,
0.0420222282409668,Low,Moving,Very high,High,-1205.0,48.0,-4292.0,10.0,24.0,-5.0,,,
0.057216644287109375,Low,Moving,Very high,High,,,,,,,0.0,0.0,0.0
0.0614626407623291,Low,Moving,Very high,High,-1374.0,-1507.0,-5069.0,15.0,25.0,27.0,,,
0.08233022689819336,Low,Moving,Very high,High,-2556.0,-3296.0,-6360.0,-1.0,10.0,37.0,,,
0.10245013236999512,Low,Moving,Very high,High,-3068.0,-3433.0,-6439.0,-4.0,-8.0,15.0,,,
0.12380123138427734,Low,Moving,Very high,High,-3456.0,-2991.0,-6279.0,-1.0,-22.0,-17.0,,,
0.12454032897949219,Low,Moving,Very high,High,,,,,,,0.287882000207901,1.4618637561798096,0.6751413941383362
0.14434242248535156,Low,Moving,Very high,High,-3816.0,-1469.0,-6223.0,12.0,-15.0,-64.0,,,
0.16401219367980957,Low,Moving,Very high,High,-3715.0,-421.0,-6130.0,18.0,-6.0,-78.0,,,
0.18487238883972168,Low,Moving,Very high,High,-2906.0,921.0,-5824.0,18.0,5.0,-81.0,,,
0.1972947120666504,Low,Moving,Very high,High,,,,,,,0.2660660743713379,1.4761196374893188,0.6719734072685242
0.20491743087768555,Low,Moving,Very high,High,-1228.0,2351.0,-5271.0,18.0,25.0,-68.0,,,
0.22611665725708008,Low,Moving,Very high,High,709.0,3048.0,-3970.0,28.0,53.0,-33.0,,,
0.2464282512664795,Low,Moving,Very high,High,-1827.0,872.0,1103.0,63.0,58.0,-15.0,,,
0.26345229148864746,Low,Moving,Very high,High,,,,,,,0.14111346006393433,1.4835337400436401,0.6703258752822876
0.2662041187286377,Low,Moving,Very high,High,-3102.0,-387.0,4209.0,63.0,12.0,-17.0,,,
0.28705525398254395,Low,Moving,Very high,High,-3127.0,457.0,5890.0,68.0,-23.0,-8.0,,,
0.3077225685119629,Low,Moving,Very high,High,-4573.0,5291.0,5465.0,42.0,10.0,-45.0,,,
0.32776665687561035,Low,Moving,Very high,High,-6981.0,6392.0,5172.0,30.0,16.0,-62.0,,,
0.3324284553527832,Low,Moving,Very high,High,,,,,,,0.1999742090702057,1.4873179197311401,0.6694849133491516
0.34567904472351074,Low,Moving,Very high,High,-8849.0,7377.0,4908.0,22.0,12.0,-68.0,,,
0.3645617961883545,Low,Moving,Very high,High,-8608.0,8506.0,4880.0,43.0,11.0,-74.0,,,
0.38584375381469727,Low,Moving,Very high,High,-7347.0,8308.0,5152.0,47.0,7.0,-81.0,,,
0.403653621673584,Low,Moving,Very high,High,,,,,,,0.2827509343624115,1.4469664096832275,0.6784518957138062
0.40560412406921387,Low,Moving,Very high,High,-6137.0,7604.0,5262.0,48.0,-4.0,-92.0,,,
0.42636632919311523,Low,Moving,Very high,High,-3849.0,5860.0,4270.0,32.0,-23.0,-109.0,,,
0.4475746154785156,Low,Moving,Very high,High,-2679.0,5051.0,3105.0,31.0,-10.0,-103.0,,,
0.46689724922180176,Low,Moving,Very high,High,-1309.0,2702.0,386.0,33.0,41.0,-65.0,,,
0.4718785285949707,Low,Moving,Very high,High,,,,,,,0.316574364900589,1.4061676263809204,0.687518298625946
0.4883887767791748,Low,Moving,Very high,High,-709.0,1112.0,-576.0,36.0,53.0,-35.0,,,
0.5092618465423584,Low,Moving,Very high,High,-368.0,-441.0,-1421.0,43.0,59.0,-4.0,,,
0.528557538986206,Low,Moving,Very high,High,-1335.0,-1534.0,-2879.0,33.0,36.0,-17.0,,,
0.5328140258789062,Low,Moving,Very high,High,,,,,,,0.3285614252090454,1.3695549964904785,0.6956544518470764
0.5498380661010742,Low,Moving,Very high,High,-963.0,-955.0,-2987.0,12.0,15.0,-23.0,,,
0.569340705871582,Low,Moving,Very high,High,-371.0,-182.0,-2990.0,-7.0,-3.0,-30.0,,,
0.5907948017120361,Low,Moving,Very high,High,-1259.0,-16.0,-2370.0,-25.0,-17.0,-48.0,,,
