time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Medium,Moving,Very high,Low,3828.0,-1841.0,275.0,26.0,15.0,32.0,0.0,0.0,0.0
0.0,Medium,Moving,Very high,Low,3828.0,-1841.0,275.0,26.0,15.0,32.0,0.0,0.0,0.0
0.04324531555175781,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.04639291763305664,Medium,Moving,Very high,Low,2047.0,-1647.0,177.0,31.0,17.0,39.0,,,
0.09506964683532715,Medium,Moving,Very high,Low,-53.0,-1550.0,174.0,17.0,-7.0,42.0,,,
0.0980386734008789,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.1351633071899414,Medium,Moving,Very high,Low,-364.0,-1242.0,-1866.0,7.0,-4.0,68.0,,,
0.14200639724731445,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.18113231658935547,Medium,Moving,Very high,Low,-509.0,-1997.0,-2932.0,-2.0,7.0,75.0,,,
0.1958332061767578,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.22588157653808594,Medium,Moving,Very high,Low,386.0,-2198.0,-2260.0,-12.0,9.0,85.0,,,
0.23601675033569336,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.27492761611938477,Medium,Moving,Very high,Low,1941.0,-1995.0,-1084.0,-14.0,11.0,100.0,,,
0.29621028900146484,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.3157987594604492,Medium,Moving,Very high,Low,5288.0,-790.0,2136.0,-14.0,40.0,131.0,,,
0.3359048366546631,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.3605687618255615,Medium,Moving,Very high,Low,5833.0,-568.0,4960.0,2.0,-21.0,84.0,,,
0.3939170837402344,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.4109640121459961,Medium,Moving,Very high,Low,6335.0,22.0,2960.0,12.0,12.0,119.0,,,
0.43443965911865234,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.4506876468658447,Medium,Moving,Very high,Low,4884.0,-626.0,1083.0,19.0,26.0,104.0,,,
0.496610164642334,Medium,Moving,Very high,Low,3516.0,-866.0,-30.0,21.0,26.0,101.0,,,
0.49668025970458984,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.536712646484375,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
0.5407810211181641,Medium,Moving,Very high,Low,3444.0,-1350.0,-787.0,17.0,19.0,101.0,,,
0.586097240447998,Medium,Moving,Very high,Low,3313.0,-1047.0,-1518.0,18.0,23.0,87.0,,,
0.5991535186767578,Medium,Moving,Very high,Low,,,,,,,0.0,0.0,0.0
