time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,High,Moving,High,Medium,2026.0,-2597.0,2281.0,18.0,-25.0,15.0,0.49880945682525635,0.8138009905815125,0.8191553354263306
0.0,High,Moving,High,Medium,2026.0,-2597.0,2281.0,18.0,-25.0,15.0,0.49880945682525635,0.8138009905815125,0.8191553354263306
0.019785165786743164,High,Moving,High,Medium,1991.0,-2936.0,1929.0,12.0,-32.0,14.0,,,
0.04035663604736328,High,Moving,High,Medium,2004.0,-3397.0,1271.0,12.0,-37.0,10.0,,,
0.06195497512817383,High,Moving,High,Medium,1848.0,-4582.0,-130.0,25.0,-41.0,0.0,,,
0.08032941818237305,High,Moving,High,Medium,,,,,,,0.511854350566864,0.8241671919822693,0.8168517351150513
0.0820157527923584,High,Moving,High,Medium,1784.0,-5003.0,-350.0,34.0,-45.0,-2.0,,,
0.10185623168945312,High,Moving,High,Medium,1974.0,-5137.0,-397.0,44.0,-50.0,-2.0,,,
0.12206244468688965,High,Moving,High,Medium,2211.0,-5032.0,-412.0,54.0,-63.0,-2.0,,,
0.14327311515808105,High,Moving,High,Medium,2274.0,-4893.0,-376.0,51.0,-73.0,-1.0,,,
0.15503835678100586,High,Moving,High,Medium,,,,,,,0.5083469748497009,0.8252906799316406,0.8166020512580872
0.16389727592468262,High,Moving,High,Medium,1265.0,-4796.0,-533.0,34.0,-80.0,-6.0,,,
0.18428325653076172,High,Moving,High,Medium,261.0,-4253.0,-902.0,22.0,-81.0,-13.0,,,
0.20451951026916504,High,Moving,High,Medium,-948.0,-3315.0,-1403.0,13.0,-80.0,-16.0,,,
0.22429251670837402,High,Moving,High,Medium,,,,,,,0.4751911163330078,0.8535279035568237,0.8103271126747131
0.2251298427581787,High,Moving,High,Medium,-3152.0,-1129.0,-2307.0,2.0,-73.0,-20.0,,,
0.24541568756103516,High,Moving,High,Medium,-4636.0,400.0,-2256.0,5.0,-67.0,-16.0,,,
0.2670297622680664,High,Moving,High,Medium,-4701.0,2692.0,-2119.0,18.0,-47.0,-16.0,,,
0.28617095947265625,High,Moving,High,Medium,-1418.0,5012.0,227.0,15.0,-43.0,-21.0,,,
0.2886977195739746,High,Moving,High,Medium,,,,,,,0.3915714621543884,0.8624268174171448,0.808349609375
0.3066399097442627,High,Moving,High,Medium,-1214.0,4453.0,1273.0,7.0,-48.0,-11.0,,,
0.3268270492553711,High,Moving,High,Medium,-1650.0,4002.0,1383.0,4.0,-44.0,-9.0,,,
0.3475532531738281,High,Moving,High,Medium,-1926.0,3761.0,882.0,1.0,-39.0,-13.0,,,
0.3564145565032959,High,Moving,High,Medium,,,,,,,0.3363456428050995,0.8550835251808167,0.8099814653396606
0.3679530620574951,High,Moving,High,Medium,-1490.0,3410.0,765.0,0.0,-36.0,-14.0,,,
0.3886091709136963,High,Moving,High,Medium,-1029.0,2827.0,815.0,0.0,-35.0,-10.0,,,
0.40878725051879883,High,Moving,High,Medium,-619.0,1267.0,733.0,-5.0,-37.0,-1.0,,,
0.4224731922149658,High,Moving,High,Medium,,,,,,,0.34989503026008606,0.8534405827522278,0.8103465437889099
0.4300858974456787,High,Moving,High,Medium,-324.0,475.0,499.0,-9.0,-43.0,-3.0,,,
0.45038366317749023,High,Moving,High,Medium,506.0,-416.0,-189.0,-11.0,-51.0,3.0,,,
0.47045421600341797,High,Moving,High,Medium,849.0,-505.0,-619.0,-9.0,-53.0,12.0,,,
0.4896373748779297,High,Moving,High,Medium,,,,,,,0.30712535977363586,0.8636831045150757,0.8080704212188721
0.4913358688354492,High,Moving,High,Medium,1281.0,-611.0,-1118.0,-3.0,-50.0,19.0,,,
0.5117647647857666,High,Moving,High,Medium,1507.0,-1545.0,-1825.0,16.0,-36.0,26.0,,,
0.532001256942749,High,Moving,High,Medium,1579.0,-2244.0,-1975.0,26.0,-30.0,28.0,,,
0.5523624420166016,High,Moving,High,Medium,1355.0,-2726.0,-2201.0,34.0,-26.0,31.0,,,
0.5565295219421387,High,Moving,High,Medium,,,,,,,0.2962854504585266,0.8657681345939636,0.8076070547103882
0.573122501373291,High,Moving,High,Medium,1064.0,-2728.0,-2539.0,44.0,-8.0,24.0,,,
0.5932323932647705,High,Moving,High,Medium,1186.0,-2536.0,-2027.0,45.0,1.0,20.0,,,
0.6138648986816406,High,Moving,High,Medium,1427.0,-2217.0,-1264.0,43.0,11.0,18.0,,,
0.6198527812957764,High,Moving,High,Medium,,,,,,,0.25447914004325867,0.8732614517211914,0.8059418797492981
0.6344776153564453,High,Moving,High,Medium,1685.0,-1886.0,317.0,33.0,18.0,19.0,,,
0.6547186374664307,High,Moving,High,Medium,1428.0,-1862.0,612.0,28.0,18.0,21.0,,,
0.6754307746887207,High,Moving,High,Medium,1220.0,-2001.0,528.0,23.0,20.0,23.0,,,
0.6923065185546875,High,Moving,High,Medium,,,,,,,0.28103458881378174,0.8777312636375427,0.804948627948761
0.6963787078857422,High,Moving,High,Medium,792.0,-1777.0,43.0,20.0,22.0,28.0,,,
0.7161247730255127,High,Moving,High,Medium,378.0,-1470.0,-165.0,20.0,21.0,28.0,,,
0.7364752292633057,High,Moving,High,Medium,-360.0,-780.0,-117.0,19.0,15.0,23.0,,,
