time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Medium,Sprinting,Very high,Very high,-5180.0,3841.0,3804.0,7.0,61.0,-39.0,0.38602471351623535,0.7826664447784424,0.8260741233825684
0.0,Medium,Sprinting,Very high,Very high,-5180.0,3841.0,3804.0,7.0,61.0,-39.0,0.38602471351623535,0.7826664447784424,0.8260741233825684
0.021033763885498047,Medium,Sprinting,Very high,Very high,-2533.0,3022.0,6545.0,32.0,-49.0,-85.0,,,
0.040941476821899414,Medium,Sprinting,Very high,Very high,-2827.0,2217.0,7532.0,43.0,-67.0,-71.0,,,
0.06178164482116699,Medium,Sprinting,Very high,Very high,-2366.0,1615.0,8088.0,46.0,-96.0,-57.0,,,
0.06812381744384766,Medium,Sprinting,Very high,Very high,,,,,,,0.3824520707130432,0.79654461145401,0.8229900598526001
0.08180856704711914,Medium,Sprinting,Very high,Very high,-1816.0,2017.0,7610.0,43.0,-119.0,-40.0,,,
0.10234403610229492,Medium,Sprinting,Very high,Very high,536.0,3004.0,2864.0,0.0,-169.0,-10.0,,,
0.12352228164672852,Medium,Sprinting,Very high,Very high,2194.0,2385.0,-1136.0,-22.0,-163.0,-33.0,,,
0.13430070877075195,Medium,Sprinting,Very high,Very high,,,,,,,0.3635275661945343,0.796126663684845,0.8230829834938049
0.14301443099975586,Medium,Sprinting,Very high,Very high,2921.0,1074.0,-6153.0,-35.0,-114.0,-48.0,,,
0.16415095329284668,Medium,Sprinting,Very high,Very high,328.0,-3332.0,-12454.0,-18.0,5.0,-17.0,,,
0.18427610397338867,Medium,Sprinting,Very high,Very high,-2015.0,-3626.0,-11882.0,15.0,17.0,-16.0,,,
0.1966993808746338,Medium,Sprinting,Very high,Very high,,,,,,,0.475007027387619,0.8048223257064819,0.8211506009101868
0.207960844039917,Medium,Sprinting,Very high,Very high,-3007.0,-2711.0,-10349.0,26.0,18.0,-13.0,,,
0.22557759284973145,Medium,Sprinting,Very high,Very high,-3316.0,-1488.0,-7515.0,20.0,46.0,12.0,,,
0.24694538116455078,Medium,Sprinting,Very high,Very high,-4200.0,-1203.0,-6545.0,29.0,29.0,10.0,,,
0.2616393566131592,Medium,Sprinting,Very high,Very high,,,,,,,0.42479655146598816,0.809809684753418,0.8200423121452332
0.2660799026489258,Medium,Sprinting,Very high,Very high,-4497.0,-546.0,-5999.0,49.0,4.0,-6.0,,,
0.2870035171508789,Medium,Sprinting,Very high,Very high,-4673.0,1362.0,-5714.0,83.0,-39.0,-39.0,,,
0.3071155548095703,Medium,Sprinting,Very high,Very high,-4058.0,2222.0,-5752.0,98.0,-52.0,-65.0,,,
