accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,activity
1610.0,0.99,428.97,26.25,0.09,0.29,0.13,0.39,-0.2,2293.0,-0.25,-1131.0,-6422.0,1335.5,0.08,2.74,1636.62,0.64,12.5,54.0,0.85,-63.0,-1071.07,3328.25,4.0,9.0,-1.55,-3187.0,0.95,-0.17,-0.49,-1.56,0.72,0.23,0.2,0.06,8636.0,1609.09,19.75,19.22,4.0,1.0,0.14,701.0,0.13,1.08,-43.0,32.0,717.75,-852.25,0.42,6.0,620.15,3.13,6.0,-0.56,-0.07,3.44,4.0,354.5,2006.0,17.25,2.49,-0.48,5.0,12.0,-0.71,0.13,0.13,0.03,0.68,0.14,0.0,3.77,4.0,0.07,2056.84,-0.28,24.25,0.66,3.0,1946.72,-49.0,0.49,341.33,43.0,0.91,13.14,-0.45,12.5,Very High
1769.0,4.11,478.14,28.5,0.05,0.31,0.22,0.36,-0.59,7531.0,-0.97,-1476.0,-6422.0,2187.5,0.08,0.96,1327.03,0.63,14.0,136.0,0.0,-63.0,-336.07,3740.0,1.0,12.0,-1.88,-7714.0,1.0,3.5,-0.26,-1.85,0.66,0.0,0.11,0.43,8636.0,2723.27,26.31,35.28,4.0,0.92,0.38,1075.0,16.44,-0.5,-66.0,50.0,922.5,-262.78,0.23,13.0,1280.78,-12.97,4.0,-5.02,0.32,1.22,2.0,426.0,7809.0,23.0,-10.14,-1.19,4.0,13.0,-6.41,0.69,0.13,0.03,0.68,0.87,0.0,2.32,1.0,0.27,1697.15,0.41,44.0,0.24,9.0,2733.65,-117.0,-0.34,373.87,42.0,0.51,18.54,-0.05,19.0,High
624.0,13.12,543.47,15.5,0.08,1.24,0.28,1.0,-0.25,7531.0,-0.81,-1476.0,-4974.0,1352.0,0.25,-3.51,1141.67,2.14,8.0,136.0,0.0,-59.0,762.24,1618.0,1.0,9.0,-1.29,-7714.0,0.99,3.27,0.82,-1.08,0.66,0.0,0.08,0.35,8103.0,2341.57,21.14,33.34,6.0,0.9,0.57,628.0,14.93,-1.11,-66.0,50.0,1056.5,571.68,0.3,10.0,1295.0,-17.86,6.0,-6.22,0.5,-4.67,1.0,493.0,7809.0,17.5,-13.4,-1.9,4.0,13.0,-8.3,1.9,0.55,0.32,3.05,0.66,0.0,4.65,7.0,0.22,1522.22,0.69,37.5,-0.07,2.0,1925.94,-117.0,0.53,407.6,48.0,0.33,18.52,2.0,15.0,Very High
252.0,0.29,731.98,12.0,0.06,1.29,0.28,0.95,0.86,1739.0,0.05,-1761.0,-2251.0,461.5,0.24,-0.46,1520.94,2.21,6.0,22.0,0.0,-26.0,-50.93,515.0,4.0,4.0,0.02,540.0,0.59,-0.17,0.81,-1.17,0.6,0.0,0.05,0.29,3817.0,522.86,8.27,17.13,3.0,0.9,0.57,230.0,1.97,-0.4,-21.0,23.0,679.5,-38.0,0.23,1.0,725.92,1.15,3.0,-0.92,0.21,-0.62,7.0,331.0,2676.0,7.0,0.86,-1.8,3.0,1.0,-1.23,-0.07,0.0,0.0,3.05,0.33,0.0,1.66,5.0,0.0,2038.27,-0.47,21.0,0.4,8.0,646.83,-44.0,1.1,546.2,48.0,0.21,9.48,2.16,10.0,Very High
227.0,0.76,818.1,5.5,0.0,0.32,0.05,0.04,0.59,1739.0,-0.12,-1761.0,-2251.0,295.0,0.01,1.12,1643.83,0.0,3.0,17.0,0.0,-9.0,-176.52,455.5,8.0,3.0,45.02,1141.0,1.49,-0.56,6.86,45.02,0.33,0.0,0.0,0.07,3817.0,359.65,4.87,10.64,3.0,0.51,0.0,150.0,4.22,0.57,-13.0,14.0,496.5,-131.72,0.01,1.0,658.24,0.9,3.0,-2.31,2.61,1.5,4.0,243.0,2676.0,5.0,0.68,45.02,3.0,7.0,-3.1,0.58,0.0,0.0,2.23,0.0,0.0,4.51,4.0,0.0,2202.96,-0.33,12.0,6.86,3.0,602.99,-43.0,6.86,610.46,32.0,0.01,4.41,2.78,5.0,Very High
166.5,-0.19,867.09,6.0,0.05,0.8,0.27,0.38,0.02,701.0,0.72,-138.0,-839.0,289.0,0.09,0.56,1739.01,0.57,3.0,13.0,0.0,-11.0,-142.12,332.5,2.0,3.0,-1.76,1648.0,-0.35,-0.29,3.61,13.64,0.79,0.0,0.08,0.43,2946.0,265.89,5.15,6.22,3.0,1.0,0.4,145.0,-0.1,0.31,-15.0,10.0,461.0,-108.07,0.21,3.0,358.81,-1.01,3.0,-2.99,0.82,0.73,1.0,240.5,1653.0,7.0,-0.77,-0.72,4.0,12.0,-3.94,-0.15,0.0,0.0,4.23,0.85,0.0,0.07,3.0,0.0,2286.92,0.33,6.75,0.82,3.0,313.95,-13.0,0.44,659.35,19.0,0.35,5.69,0.3,3.0,Medium
176.0,0.8,999.67,6.5,0.09,0.73,0.17,0.88,-0.07,701.0,0.29,-138.0,-574.0,316.5,0.19,3.85,1791.21,0.28,3.0,25.0,0.0,-11.0,-39.59,348.0,2.0,2.0,8.01,1619.0,0.25,-0.72,3.32,12.08,0.79,0.0,0.17,0.2,2946.0,277.11,7.12,6.15,5.0,1.0,0.18,160.0,1.03,0.12,-15.0,10.0,399.0,-31.12,0.41,3.0,354.24,0.39,4.0,-2.86,0.5,4.9,2.0,184.0,1741.0,3.5,0.3,0.56,6.0,15.0,-3.64,0.28,0.14,0.03,4.23,0.06,0.0,0.06,3.0,0.09,2278.62,0.61,8.0,0.57,6.0,272.22,-13.0,-2.94,785.83,19.0,0.78,5.34,-0.12,3.0,Medium
333.0,1.74,766.61,14.0,0.07,0.16,0.1,0.9,-1.97,3707.0,-1.56,-4896.0,-2164.0,868.0,0.18,2.12,1731.15,0.21,7.0,74.0,0.75,-52.0,382.78,985.0,1.0,2.0,-0.34,-5860.0,4.1,-1.69,-0.68,-0.24,0.6,0.15,0.16,0.04,10906.0,2761.57,20.53,21.76,6.0,0.88,0.13,392.0,3.96,0.01,-66.0,35.0,492.5,304.15,0.36,6.0,1618.63,-10.63,15.0,-6.23,1.34,2.67,1.0,224.0,4321.0,3.0,-8.45,0.09,6.0,12.0,-7.84,-0.72,0.14,0.03,1.11,0.04,0.52,2.75,1.0,0.07,2178.66,1.32,12.5,0.47,9.0,1041.35,-80.0,0.63,609.15,23.0,0.8,15.79,1.78,5.0,Medium
1128.0,1.98,1158.11,27.0,0.09,0.37,0.18,0.59,0.08,3948.0,0.38,-4896.0,-6727.0,3275.5,0.12,2.59,1338.3,0.51,15.0,123.0,0.0,-52.0,-576.61,2865.0,1.0,12.0,18.21,-7797.0,2.63,-1.13,-0.26,-1.02,0.78,0.0,0.18,0.16,10906.0,3774.7,28.03,51.79,3.0,1.0,0.19,1785.0,1.95,-0.14,-66.0,127.0,1595.5,-455.71,0.43,4.0,1936.76,15.05,6.0,4.15,-0.34,3.27,1.0,820.0,5607.0,25.0,11.89,-0.0,3.0,12.0,5.25,0.66,0.3,0.07,1.09,0.11,0.0,0.14,1.0,0.06,1693.35,-0.6,59.5,0.43,1.0,2427.06,-107.0,-3.79,915.28,150.0,0.84,27.02,-0.1,27.0,Very High
800.0,8.37,1249.15,18.0,0.09,0.41,0.17,0.54,1.94,3948.0,0.89,-898.0,-6727.0,861.5,0.12,3.44,1233.75,0.8,9.0,123.0,0.0,-37.0,-1668.48,1774.5,1.0,8.0,16.27,-7797.0,6.92,1.16,0.02,-1.26,0.78,0.0,0.18,0.16,8926.0,2572.08,20.82,41.68,6.0,1.0,0.1,419.0,2.28,-0.96,-19.0,127.0,1510.5,-1311.59,0.4,3.0,1104.69,25.04,3.0,6.63,0.53,4.38,1.0,658.0,5607.0,25.0,19.68,0.56,4.0,14.0,8.44,2.24,0.39,0.08,1.23,0.17,0.0,3.5,3.0,0.05,1569.47,-0.41,49.5,0.94,1.0,1825.26,-107.0,-3.51,981.95,150.0,0.85,20.21,1.29,13.0,Very High
