accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,control
-1071.07,3.44,428.97,3.44,0.42,0.39,0.42,0.39,-0.71,-1071.07,3.13,428.97,-1071.07,2056.84,0.39,3.44,2056.84,0.39,3.44,3.44,0.91,3.44,-1071.07,-1071.07,-0.71,-0.71,0.91,2056.84,-0.71,428.97,0.39,0.39,0.42,0.42,0.91,0.91,2056.84,2056.84,3.44,3.13,0.91,0.91,0.42,2056.84,428.97,2056.84,-0.71,-0.71,428.97,-1071.07,0.42,3.44,428.97,3.13,0.42,-0.71,3.13,3.44,3.13,428.97,428.97,-0.71,3.13,0.42,0.39,2056.84,-0.71,3.44,0.39,0.91,0.39,0.91,0.39,2056.84,-1071.07,0.42,2056.84,-1071.07,3.13,0.42,428.97,-1071.07,3.13,0.91,428.97,3.13,0.91,-0.71,-1071.07,3.13,Very high
-336.07,1.22,478.14,1.22,0.23,0.36,0.23,0.36,-6.41,-336.07,-12.97,478.14,-336.07,1697.15,0.36,1.22,1697.15,0.36,1.22,1.22,0.51,1.22,-336.07,-336.07,-6.41,-6.41,0.51,1697.15,-6.41,478.14,0.36,0.36,0.23,0.23,0.51,0.51,1697.15,1697.15,1.22,-12.97,0.51,0.51,0.23,1697.15,478.14,1697.15,-6.41,-6.41,478.14,-336.07,0.23,1.22,478.14,-12.97,0.23,-6.41,-12.97,1.22,-12.97,478.14,478.14,-6.41,-12.97,0.23,0.36,1697.15,-6.41,1.22,0.36,0.51,0.36,0.51,0.36,1697.15,-336.07,0.23,1697.15,-336.07,-12.97,0.23,478.14,-336.07,-12.97,0.51,478.14,-12.97,0.51,-6.41,-336.07,-12.97,High
762.24,-4.67,543.47,-4.67,0.3,1.0,0.3,1.0,-8.3,762.24,-17.86,543.47,762.24,1522.22,1.0,-4.67,1522.22,1.0,-4.67,-4.67,0.33,-4.67,762.24,762.24,-8.3,-8.3,0.33,1522.22,-8.3,543.47,1.0,1.0,0.3,0.3,0.33,0.33,1522.22,1522.22,-4.67,-17.86,0.33,0.33,0.3,1522.22,543.47,1522.22,-8.3,-8.3,543.47,762.24,0.3,-4.67,543.47,-17.86,0.3,-8.3,-17.86,-4.67,-17.86,543.47,543.47,-8.3,-17.86,0.3,1.0,1522.22,-8.3,-4.67,1.0,0.33,1.0,0.33,1.0,1522.22,762.24,0.3,1522.22,762.24,-17.86,0.3,543.47,762.24,-17.86,0.33,543.47,-17.86,0.33,-8.3,762.24,-17.86,Very high
-50.93,-0.62,731.98,-0.62,0.23,0.95,0.23,0.95,-1.23,-50.93,1.15,731.98,-50.93,2038.27,0.95,-0.62,2038.27,0.95,-0.62,-0.62,0.21,-0.62,-50.93,-50.93,-1.23,-1.23,0.21,2038.27,-1.23,731.98,0.95,0.95,0.23,0.23,0.21,0.21,2038.27,2038.27,-0.62,1.15,0.21,0.21,0.23,2038.27,731.98,2038.27,-1.23,-1.23,731.98,-50.93,0.23,-0.62,731.98,1.15,0.23,-1.23,1.15,-0.62,1.15,731.98,731.98,-1.23,1.15,0.23,0.95,2038.27,-1.23,-0.62,0.95,0.21,0.95,0.21,0.95,2038.27,-50.93,0.23,2038.27,-50.93,1.15,0.23,731.98,-50.93,1.15,0.21,731.98,1.15,0.21,-1.23,-50.93,1.15,Very high
-176.52,1.5,818.1,1.5,0.01,0.04,0.01,0.04,-3.1,-176.52,0.9,818.1,-176.52,2202.96,0.04,1.5,2202.96,0.04,1.5,1.5,0.01,1.5,-176.52,-176.52,-3.1,-3.1,0.01,2202.96,-3.1,818.1,0.04,0.04,0.01,0.01,0.01,0.01,2202.96,2202.96,1.5,0.9,0.01,0.01,0.01,2202.96,818.1,2202.96,-3.1,-3.1,818.1,-176.52,0.01,1.5,818.1,0.9,0.01,-3.1,0.9,1.5,0.9,818.1,818.1,-3.1,0.9,0.01,0.04,2202.96,-3.1,1.5,0.04,0.01,0.04,0.01,0.04,2202.96,-176.52,0.01,2202.96,-176.52,0.9,0.01,818.1,-176.52,0.9,0.01,818.1,0.9,0.01,-3.1,-176.52,0.9,Very high
-142.12,0.73,867.09,0.73,0.21,0.38,0.21,0.38,-3.94,-142.12,-1.01,867.09,-142.12,2286.92,0.38,0.73,2286.92,0.38,0.73,0.73,0.35,0.73,-142.12,-142.12,-3.94,-3.94,0.35,2286.92,-3.94,867.09,0.38,0.38,0.21,0.21,0.35,0.35,2286.92,2286.92,0.73,-1.01,0.35,0.35,0.21,2286.92,867.09,2286.92,-3.94,-3.94,867.09,-142.12,0.21,0.73,867.09,-1.01,0.21,-3.94,-1.01,0.73,-1.01,867.09,867.09,-3.94,-1.01,0.21,0.38,2286.92,-3.94,0.73,0.38,0.35,0.38,0.35,0.38,2286.92,-142.12,0.21,2286.92,-142.12,-1.01,0.21,867.09,-142.12,-1.01,0.35,867.09,-1.01,0.35,-3.94,-142.12,-1.01,Very high
-39.59,4.9,999.67,4.9,0.41,0.88,0.41,0.88,-3.64,-39.59,0.39,999.67,-39.59,2278.62,0.88,4.9,2278.62,0.88,4.9,4.9,0.78,4.9,-39.59,-39.59,-3.64,-3.64,0.78,2278.62,-3.64,999.67,0.88,0.88,0.41,0.41,0.78,0.78,2278.62,2278.62,4.9,0.39,0.78,0.78,0.41,2278.62,999.67,2278.62,-3.64,-3.64,999.67,-39.59,0.41,4.9,999.67,0.39,0.41,-3.64,0.39,4.9,0.39,999.67,999.67,-3.64,0.39,0.41,0.88,2278.62,-3.64,4.9,0.88,0.78,0.88,0.78,0.88,2278.62,-39.59,0.41,2278.62,-39.59,0.39,0.41,999.67,-39.59,0.39,0.78,999.67,0.39,0.78,-3.64,-39.59,0.39,Very high
382.78,2.67,766.61,2.67,0.36,0.9,0.36,0.9,-7.84,382.78,-10.63,766.61,382.78,2178.66,0.9,2.67,2178.66,0.9,2.67,2.67,0.8,2.67,382.78,382.78,-7.84,-7.84,0.8,2178.66,-7.84,766.61,0.9,0.9,0.36,0.36,0.8,0.8,2178.66,2178.66,2.67,-10.63,0.8,0.8,0.36,2178.66,766.61,2178.66,-7.84,-7.84,766.61,382.78,0.36,2.67,766.61,-10.63,0.36,-7.84,-10.63,2.67,-10.63,766.61,766.61,-7.84,-10.63,0.36,0.9,2178.66,-7.84,2.67,0.9,0.8,0.9,0.8,0.9,2178.66,382.78,0.36,2178.66,382.78,-10.63,0.36,766.61,382.78,-10.63,0.8,766.61,-10.63,0.8,-7.84,382.78,-10.63,High
-576.61,3.27,1158.11,3.27,0.43,0.59,0.43,0.59,5.25,-576.61,15.05,1158.11,-576.61,1693.35,0.59,3.27,1693.35,0.59,3.27,3.27,0.84,3.27,-576.61,-576.61,5.25,5.25,0.84,1693.35,5.25,1158.11,0.59,0.59,0.43,0.43,0.84,0.84,1693.35,1693.35,3.27,15.05,0.84,0.84,0.43,1693.35,1158.11,1693.35,5.25,5.25,1158.11,-576.61,0.43,3.27,1158.11,15.05,0.43,5.25,15.05,3.27,15.05,1158.11,1158.11,5.25,15.05,0.43,0.59,1693.35,5.25,3.27,0.59,0.84,0.59,0.84,0.59,1693.35,-576.61,0.43,1693.35,-576.61,15.05,0.43,1158.11,-576.61,15.05,0.84,1158.11,15.05,0.84,5.25,-576.61,15.05,Very high
-1668.48,4.38,1249.15,4.38,0.4,0.54,0.4,0.54,8.44,-1668.48,25.04,1249.15,-1668.48,1569.47,0.54,4.38,1569.47,0.54,4.38,4.38,0.85,4.38,-1668.48,-1668.48,8.44,8.44,0.85,1569.47,8.44,1249.15,0.54,0.54,0.4,0.4,0.85,0.85,1569.47,1569.47,4.38,25.04,0.85,0.85,0.4,1569.47,1249.15,1569.47,8.44,8.44,1249.15,-1668.48,0.4,4.38,1249.15,25.04,0.4,8.44,25.04,4.38,25.04,1249.15,1249.15,8.44,25.04,0.4,0.54,1569.47,8.44,4.38,0.54,0.85,0.54,0.85,0.54,1569.47,-1668.48,0.4,1569.47,-1668.48,25.04,0.4,1249.15,-1668.48,25.04,0.85,1249.15,25.04,0.85,8.44,-1668.48,25.04,Very high
