time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Very high,Moving,Very high,Medium,-857.0,2750.0,874.0,-7.0,5.0,-13.0,0.7153024077415466,1.2782660722732544,0.7159408330917358
0.0,Very high,Moving,Very high,Medium,-857.0,2750.0,874.0,-7.0,5.0,-13.0,0.7153024077415466,1.2782660722732544,0.7159408330917358
0.02007913589477539,Very high,Moving,Very high,Medium,-987.0,2725.0,922.0,-6.0,6.0,-16.0,,,
0.0403904914855957,Very high,Moving,Very high,Medium,-1119.0,2740.0,902.0,-5.0,8.0,-16.0,,,
0.062079668045043945,Very high,Moving,Very high,Medium,-1226.0,2920.0,847.0,-5.0,12.0,-12.0,,,
0.0742952823638916,Very high,Moving,Very high,Medium,,,,,,,0.7021583914756775,1.2285487651824951,0.7269891500473022
0.08165407180786133,Very high,Moving,Very high,Medium,-1195.0,3004.0,885.0,-6.0,13.0,-7.0,,,
0.10322833061218262,Very high,Moving,Very high,Medium,-1036.0,2945.0,939.0,-9.0,15.0,4.0,,,
0.12210607528686523,Very high,Moving,Very high,Medium,-915.0,2820.0,928.0,-11.0,15.0,4.0,,,
0.13483262062072754,Very high,Moving,Very high,Medium,,,,,,,0.6921834349632263,1.1893082857131958,0.7357093095779419
0.14321351051330566,Very high,Moving,Very high,Medium,-817.0,2712.0,936.0,-12.0,13.0,1.0,,,
0.1641557216644287,Very high,Moving,Very high,Medium,-833.0,2580.0,1135.0,-14.0,4.0,-5.0,,,
0.18366122245788574,Very high,Moving,Very high,Medium,-935.0,2537.0,1264.0,-16.0,1.0,-5.0,,,
0.20421552658081055,Very high,Moving,Very high,Medium,-1022.0,2538.0,1360.0,-18.0,1.0,-3.0,,,
0.20536565780639648,Very high,Moving,Very high,Medium,,,,,,,0.6860131621360779,1.1467297077178955,0.7451711893081665
0.22456622123718262,Very high,Moving,Very high,Medium,-1036.0,2564.0,1424.0,-19.0,3.0,1.0,,,
0.24503087997436523,Very high,Moving,Very high,Medium,-990.0,2583.0,1468.0,-20.0,5.0,4.0,,,
0.2665085792541504,Very high,Moving,Very high,Medium,-900.0,2584.0,1503.0,-20.0,7.0,6.0,,,
0.28588008880615234,Very high,Moving,Very high,Medium,-574.0,2561.0,1529.0,-21.0,7.0,6.0,,,
0.3047494888305664,Very high,Moving,Very high,Medium,,,,,,,0.6805144548416138,1.1133439540863037,0.7525902390480042
0.31082963943481445,Very high,Moving,Very high,Medium,-399.0,2633.0,1488.0,-22.0,4.0,2.0,,,
0.32807207107543945,Very high,Moving,Very high,Medium,-236.0,2971.0,1340.0,-20.0,-7.0,-8.0,,,
0.3476247787475586,Very high,Moving,Very high,Medium,-291.0,3162.0,1316.0,-17.0,-12.0,-11.0,,,
0.36829423904418945,Very high,Moving,Very high,Medium,-377.0,3233.0,1433.0,-14.0,-17.0,-12.0,,,
