time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Very high,Moving,Very high,High,2369.0,914.0,494.0,-13.0,7.0,9.0,0.5841227769851685,1.4727396965026855,0.6727244853973389
0.0,Very high,Moving,Very high,High,2369.0,914.0,494.0,-13.0,7.0,9.0,0.5841227769851685,1.4727396965026855,0.6727244853973389
0.02067255973815918,Very high,Moving,Very high,High,2656.0,837.0,-87.0,-13.0,12.0,2.0,,,
0.04117250442504883,Very high,Moving,Very high,High,2773.0,954.0,-134.0,-13.0,12.0,3.0,,,
0.061673879623413086,Very high,Moving,Very high,High,2813.0,1141.0,-132.0,-12.0,13.0,5.0,,,
0.06498003005981445,Very high,Moving,Very high,High,,,,,,,0.5740148425102234,1.4373843669891357,0.6805812120437622
0.08263111114501953,Very high,Moving,Very high,High,2780.0,1443.0,70.0,-12.0,16.0,7.0,,,
0.10258269309997559,Very high,Moving,Very high,High,2833.0,1461.0,344.0,-15.0,13.0,12.0,,,
0.12351155281066895,Very high,Moving,Very high,High,2734.0,1062.0,708.0,-24.0,7.0,15.0,,,
0.12842226028442383,Very high,Moving,Very high,High,,,,,,,0.5723472833633423,1.3898873329162598,0.6911361217498779
0.1441810131072998,Very high,Moving,Very high,High,2467.0,846.0,590.0,-28.0,9.0,11.0,,,
0.1640486717224121,Very high,Moving,Very high,High,2170.0,706.0,294.0,-29.0,14.0,8.0,,,
0.18449664115905762,Very high,Moving,Very high,High,2071.0,531.0,-302.0,-27.0,22.0,5.0,,,
0.19948196411132812,Very high,Moving,Very high,High,,,,,,,0.5250874757766724,1.3201237916946411,0.7066391706466675
0.20487213134765625,Very high,Moving,Very high,High,2444.0,400.0,-397.0,-27.0,20.0,0.0,,,
0.2259209156036377,Very high,Moving,Very high,High,2907.0,367.0,-270.0,-28.0,17.0,-9.0,,,
0.24633193016052246,Very high,Moving,Very high,High,3675.0,1046.0,900.0,-23.0,13.0,-9.0,,,
0.26470184326171875,Very high,Moving,Very high,High,,,,,,,0.4388313591480255,1.2408820390701294,0.7242484092712402
0.2662937641143799,Very high,Moving,Very high,High,4002.0,1666.0,1715.0,-21.0,14.0,1.0,,,
0.28727126121520996,Very high,Moving,Very high,High,4247.0,2189.0,2502.0,-23.0,19.0,1.0,,,
0.30722713470458984,Very high,Moving,Very high,High,4449.0,3232.0,3583.0,-21.0,19.0,-15.0,,,
0.32775354385375977,Very high,Moving,Very high,High,4273.0,3766.0,3724.0,-18.0,14.0,-8.0,,,
0.3374762535095215,Very high,Moving,Very high,High,,,,,,,0.3610193133354187,1.1605172157287598,0.7421072721481323
0.34857845306396484,Very high,Moving,Very high,High,4183.0,4204.0,3082.0,-17.0,9.0,14.0,,,
0.3690927028656006,Very high,Moving,Very high,High,4158.0,3972.0,2540.0,-16.0,8.0,17.0,,,
0.3893864154815674,Very high,Moving,Very high,High,3721.0,3463.0,2098.0,-13.0,13.0,12.0,,,
0.39791059494018555,Very high,Moving,Very high,High,,,,,,,0.3175677955150604,1.078831672668457,0.7602596282958984
0.4105362892150879,Very high,Moving,Very high,High,2929.0,2837.0,1899.0,-11.0,23.0,4.0,,,
0.4301614761352539,Very high,Moving,Very high,High,1181.0,1321.0,1141.0,-13.0,35.0,12.0,,,
0.45070385932922363,Very high,Moving,Very high,High,417.0,428.0,686.0,-13.0,35.0,23.0,,,
0.46998047828674316,Very high,Moving,Very high,High,,,,,,,0.3664016127586365,1.1292661428451538,0.7490519285202026
0.4710533618927002,Very high,Moving,Very high,High,-642.0,-1295.0,-323.0,-14.0,38.0,43.0,,,
0.4924604892730713,Very high,Moving,Very high,High,-716.0,-2097.0,-654.0,-17.0,28.0,44.0,,,
0.5128660202026367,Very high,Moving,Very high,High,-892.0,-2562.0,-684.0,-17.0,19.0,39.0,,,
0.5323910713195801,Very high,Moving,Very high,High,,,,,,,0.5913713574409485,1.1675649881362915,0.7405411005020142
0.5325706005096436,Very high,Moving,Very high,High,-1420.0,-2543.0,-268.0,-14.0,25.0,32.0,,,
0.5532033443450928,Very high,Moving,Very high,High,-1646.0,-2491.0,637.0,-12.0,42.0,18.0,,,
0.5736711025238037,Very high,Moving,Very high,High,-18.0,-2432.0,3552.0,-10.0,26.0,-6.0,,,
0.5943272113800049,Very high,Moving,Very high,High,876.0,-2224.0,4762.0,-8.0,-5.0,1.0,,,
0.5982217788696289,Very high,Moving,Very high,High,,,,,,,0.6116970181465149,1.1706507205963135,0.7398554086685181
0.6146094799041748,Very high,Moving,Very high,High,1372.0,-1962.0,5119.0,-7.0,-28.0,12.0,,,
0.6349911689758301,Very high,Moving,Very high,High,1809.0,-1078.0,3857.0,-4.0,-44.0,30.0,,,
0.6557261943817139,Very high,Moving,Very high,High,1843.0,-571.0,2599.0,2.0,-46.0,36.0,,,
0.6692197322845459,Very high,Moving,Very high,High,,,,,,,0.6065428256988525,1.1288918256759644,0.7491351366043091
0.6766743659973145,Very high,Moving,Very high,High,1831.0,-205.0,1082.0,9.0,-44.0,38.0,,,
0.6964571475982666,Very high,Moving,Very high,High,2090.0,124.0,-1889.0,29.0,-30.0,28.0,,,
0.7170605659484863,Very high,Moving,Very high,High,2156.0,49.0,-2896.0,36.0,-19.0,18.0,,,
0.7374191284179688,Very high,Moving,Very high,High,1994.0,-508.0,-3495.0,41.0,-2.0,3.0,,,
0.7412700653076172,Very high,Moving,Very high,High,,,,,,,0.633184552192688,1.0178354978561401,0.77381432056427
0.7581138610839844,Very high,Moving,Very high,High,2000.0,-850.0,-3156.0,40.0,0.0,2.0,,,
0.7799694538116455,Very high,Moving,Very high,High,2123.0,-1088.0,-2556.0,38.0,-4.0,7.0,,,
0.7988057136535645,Very high,Moving,Very high,High,2471.0,-1016.0,-704.0,39.0,-16.0,24.0,,,
0.8040528297424316,Very high,Moving,Very high,High,,,,,,,0.635496199131012,0.9616765379905701,0.7862941026687622
0.8196835517883301,Very high,Moving,Very high,High,2750.0,-842.0,592.0,39.0,-27.0,33.0,,,
0.8397006988525391,Very high,Moving,Very high,High,2998.0,-528.0,1997.0,38.0,-45.0,41.0,,,
0.8603200912475586,Very high,Moving,Very high,High,2410.0,-258.0,3400.0,29.0,-57.0,35.0,,,
0.8708977699279785,Very high,Moving,Very high,High,,,,,,,0.592088520526886,0.9135107398033142,0.796997606754303
0.8813135623931885,Very high,Moving,Very high,High,1471.0,-447.0,3071.0,22.0,-36.0,13.0,,,
0.901475191116333,Very high,Moving,Very high,High,200.0,-439.0,2512.0,24.0,-13.0,-9.0,,,
0.921928882598877,Very high,Moving,Very high,High,-978.0,30.0,1987.0,46.0,-2.0,6.0,,,
0.9378485679626465,Very high,Moving,Very high,High,,,,,,,0.5059537291526794,0.8411291241645813,0.8130823969841003
0.943204402923584,Very high,Moving,Very high,High,-3230.0,-316.0,1732.0,39.0,13.0,54.0,,,
0.9628517627716064,Very high,Moving,Very high,High,-5974.0,-1595.0,1032.0,-15.0,99.0,-28.0,,,
0.983330488204956,Very high,Moving,Very high,High,-3531.0,-1309.0,1681.0,-30.0,80.0,-106.0,,,
1.0036594867706299,Very high,Moving,Very high,High,-661.0,-1570.0,3128.0,-21.0,27.0,-127.0,,,
1.0066885948181152,Very high,Moving,Very high,High,,,,,,,0.38768231868743896,0.7719714045524597,0.8284507989883423
1.0247244834899902,Very high,Moving,Very high,High,1542.0,-2529.0,4071.0,-4.0,-2.0,-31.0,,,
1.0456275939941406,Very high,Moving,Very high,High,1833.0,-2099.0,3386.0,-12.0,8.0,-2.0,,,
1.0649778842926025,Very high,Moving,Very high,High,1792.0,-1352.0,2362.0,-15.0,9.0,-2.0,,,
1.0707807540893555,Very high,Moving,Very high,High,,,,,,,0.25060948729515076,0.7109706997871399,0.842006504535675
1.0856821537017822,Very high,Moving,Very high,High,1550.0,-663.0,1506.0,-16.0,-3.0,-13.0,,,
1.1059532165527344,Very high,Moving,Very high,High,1348.0,-24.0,693.0,-15.0,-23.0,-24.0,,,
1.127082347869873,Very high,Moving,Very high,High,1513.0,1138.0,-1165.0,-6.0,-40.0,-44.0,,,
1.1361167430877686,Very high,Moving,Very high,High,,,,,,,0.24476751685142517,0.667757511138916,0.851609468460083
1.1471874713897705,Very high,Moving,Very high,High,1943.0,1814.0,-1827.0,3.0,-35.0,-44.0,,,
1.167611837387085,Very high,Moving,Very high,High,2431.0,2218.0,-2118.0,9.0,-28.0,-33.0,,,
1.1880626678466797,Very high,Moving,Very high,High,2832.0,2238.0,-2138.0,12.0,-23.0,-21.0,,,
1.2058300971984863,Very high,Moving,Very high,High,,,,,,,0.2450030893087387,0.6663399934768677,0.8519244194030762
1.2086033821105957,Very high,Moving,Very high,High,2970.0,1618.0,-1511.0,17.0,-18.0,-12.0,,,
1.2290019989013672,Very high,Moving,Very high,High,2699.0,905.0,-919.0,16.0,-22.0,-16.0,,,
1.2496986389160156,Very high,Moving,Very high,High,1688.0,-1040.0,584.0,5.0,-47.0,-37.0,,,
1.2698390483856201,Very high,Moving,Very high,High,952.0,-1636.0,1372.0,0.0,-70.0,-38.0,,,
1.27325439453125,Very high,Moving,Very high,High,,,,,,,0.21218444406986237,0.6893966794013977,0.8468007445335388
1.2907369136810303,Very high,Moving,Very high,High,-29.0,-2038.0,1324.0,-2.0,-83.0,-39.0,,,
1.3124446868896484,Very high,Moving,Very high,High,-4787.0,-3233.0,-1192.0,-17.0,-52.0,-129.0,,,
1.3312785625457764,Very high,Moving,Very high,High,-10244.0,-2404.0,-2286.0,-18.0,-4.0,-149.0,,,
1.3449039459228516,Very high,Moving,Very high,High,,,,,,,0.3217771053314209,0.7077577114105225,0.8427205085754395
1.3525776863098145,Very high,Moving,Very high,High,-13195.0,-849.0,-2505.0,-25.0,56.0,-185.0,,,
1.372166633605957,Very high,Moving,Very high,High,-4720.0,-1228.0,4650.0,24.0,69.0,-62.0,,,
1.3929781913757324,Very high,Moving,Very high,High,-1320.0,-1987.0,7221.0,37.0,-27.0,-8.0,,,
1.413621187210083,Very high,Moving,Very high,High,-2014.0,-3510.0,5904.0,-20.0,-85.0,-133.0,,,
1.4148845672607422,Very high,Moving,Very high,High,,,,,,,0.45800209045410156,0.7236645817756653,0.8391856551170349
1.434410810470581,Very high,Moving,Very high,High,-3057.0,-3950.0,4109.0,-44.0,-83.0,-186.0,,,
1.4544227123260498,Very high,Moving,Very high,High,-4330.0,-3602.0,2227.0,-40.0,-83.0,-190.0,,,
1.4749133586883545,Very high,Moving,Very high,High,-5626.0,-1856.0,-1655.0,-30.0,-72.0,-151.0,,,
1.495286464691162,Very high,Moving,Very high,High,-5121.0,-653.0,-3196.0,-30.0,-58.0,-132.0,,,
1.5043728351593018,Very high,Moving,Very high,High,,,,,,,0.476874977350235,0.6558671593666077,0.8542517423629761
1.5161452293395996,Very high,Moving,Very high,High,-3919.0,422.0,-4334.0,-15.0,-29.0,-116.0,,,
1.5363402366638184,Very high,Moving,Very high,High,-1104.0,348.0,-4804.0,14.0,9.0,-118.0,,,
1.5569605827331543,Very high,Moving,Very high,High,375.0,26.0,-4228.0,19.0,3.0,-130.0,,,
1.578373670578003,Very high,Moving,Very high,High,1534.0,-247.0,-3630.0,21.0,-10.0,-138.0,,,
1.5832104682922363,Very high,Moving,Very high,High,,,,,,,0.39372262358665466,0.6476247906684875,0.8560833930969238
1.597506046295166,Very high,Moving,Very high,High,2559.0,379.0,-3283.0,19.0,-16.0,-125.0,,,
1.6181483268737793,Very high,Moving,Very high,High,2697.0,903.0,-2597.0,23.0,3.0,-115.0,,,
1.6387393474578857,Very high,Moving,Very high,High,2585.0,-772.0,319.0,38.0,5.0,-124.0,,,
1.6590933799743652,Very high,Moving,Very high,High,2158.0,-1984.0,2085.0,38.0,-18.0,-116.0,,,
1.6767420768737793,Very high,Moving,Very high,High,,,,,,,0.3473355770111084,0.6619735956192017,0.8528947830200195
1.6803240776062012,Very high,Moving,Very high,High,1220.0,-2585.0,3558.0,24.0,-36.0,-83.0,,,
1.7014987468719482,Very high,Moving,Very high,High,-152.0,-2396.0,4894.0,-3.0,-26.0,-12.0,,,
1.7204251289367676,Very high,Moving,Very high,High,-153.0,-2546.0,4809.0,-9.0,-15.0,-9.0,,,
1.7410104274749756,Very high,Moving,Very high,High,72.0,-2816.0,4710.0,-17.0,-15.0,-2.0,,,
1.7459704875946045,Very high,Moving,Very high,High,,,,,,,0.3011678159236908,0.5845847725868225,0.8700922727584839
1.761411428451538,Very high,Moving,Very high,High,183.0,-2866.0,4579.0,-27.0,-29.0,2.0,,,
1.782463788986206,Very high,Moving,Very high,High,-63.0,-2955.0,4591.0,-24.0,-30.0,-9.0,,,
1.8027424812316895,Very high,Moving,Very high,High,-414.0,-3112.0,4916.0,-25.0,-34.0,-16.0,,,
1.809145212173462,Very high,Moving,Very high,High,,,,,,,0.3758639395236969,0.595047116279602,0.867767333984375
1.823096752166748,Very high,Moving,Very high,High,-1151.0,-3042.0,5363.0,-20.0,-40.0,-34.0,,,
1.844658613204956,Very high,Moving,Very high,High,-1452.0,-2762.0,5209.0,-20.0,-49.0,-44.0,,,
1.8637006282806396,Very high,Moving,Very high,High,-1727.0,-2509.0,4567.0,-20.0,-60.0,-58.0,,,
1.8718247413635254,Very high,Moving,Very high,High,,,,,,,0.4205102324485779,0.6562160849571228,0.8541741967201233
1.885038137435913,Very high,Moving,Very high,High,-2227.0,-2017.0,1706.0,-20.0,-74.0,-99.0,,,
1.9050116539001465,Very high,Moving,Very high,High,-2253.0,-1835.0,-31.0,-17.0,-74.0,-118.0,,,
1.9251525402069092,Very high,Moving,Very high,High,-2060.0,-1757.0,-1571.0,-9.0,-73.0,-120.0,,,
1.9417617321014404,Very high,Moving,Very high,High,,,,,,,0.3630373179912567,0.7071242928504944,0.8428612947463989
1.9459195137023926,Very high,Moving,Very high,High,-1972.0,-1353.0,-3647.0,12.0,-66.0,-96.0,,,
1.9664053916931152,Very high,Moving,Very high,High,-2146.0,-583.0,-4155.0,14.0,-46.0,-89.0,,,
1.98689603805542,Very high,Moving,Very high,High,-2276.0,3395.0,-3622.0,22.0,43.0,-92.0,,,
2.003197193145752,Very high,Moving,Very high,High,-2657.0,6694.0,-1656.0,41.0,131.0,-87.0,,,
2.0086536407470703,Very high,Moving,Very high,High,,,,,,,0.2640168070793152,0.7578815817832947,0.8315818905830383
2.0236918926239014,Very high,Moving,Very high,High,-4593.0,7093.0,619.0,43.0,202.0,-67.0,,,
2.0448105335235596,Very high,Moving,Very high,High,-5476.0,3415.0,5265.0,7.0,55.0,81.0,,,
2.0685853958129883,Very high,Moving,Very high,High,-4764.0,2469.0,5188.0,-4.0,-28.0,100.0,,,
2.078321695327759,Very high,Moving,Very high,High,,,,,,,0.42233148217201233,0.8418005704879761,0.8129332065582275
2.089118242263794,Very high,Moving,Very high,High,-4268.0,643.0,3992.0,-19.0,-81.0,67.0,,,
2.1095736026763916,Very high,Moving,Very high,High,-4746.0,-1345.0,2081.0,-37.0,-98.0,19.0,,,
2.1299073696136475,Very high,Moving,Very high,High,-5066.0,-2307.0,305.0,-36.0,-81.0,0.0,,,
2.1437909603118896,Very high,Moving,Very high,High,,,,,,,0.5308772921562195,0.9438629150390625,0.790252685546875
2.1504592895507812,Very high,Moving,Very high,High,-5567.0,-2262.0,-2632.0,-36.0,-65.0,32.0,,,
2.1709282398223877,Very high,Moving,Very high,High,-4965.0,-2327.0,-4269.0,-47.0,-67.0,40.0,,,
2.191408395767212,Very high,Moving,Very high,High,-4225.0,-2186.0,-5674.0,-46.0,-54.0,36.0,,,
2.2092535495758057,Very high,Moving,Very high,High,,,,,,,0.5693490505218506,0.9694352746009827,0.7845699191093445
2.2126519680023193,Very high,Moving,Very high,High,-2674.0,-1043.0,-7078.0,-32.0,-30.0,9.0,,,
2.233242988586426,Very high,Moving,Very high,High,-1957.0,-585.0,-6994.0,-27.0,-7.0,-19.0,,,
2.2529287338256836,Very high,Moving,Very high,High,-1789.0,-179.0,-6165.0,-19.0,29.0,-65.0,,,
2.2729618549346924,Very high,Moving,Very high,High,,,,,,,0.4059821367263794,0.9881175756454468,0.780418336391449
2.274427652359009,Very high,Moving,Very high,High,-1822.0,744.0,-1347.0,18.0,141.0,-84.0,,,
2.29378604888916,Very high,Moving,Very high,High,-2887.0,787.0,2106.0,16.0,166.0,-14.0,,,
2.311995029449463,Very high,Moving,Very high,High,-4099.0,-109.0,4472.0,3.0,119.0,20.0,,,
2.3306691646575928,Very high,Moving,Very high,High,-3888.0,-685.0,5080.0,-28.0,-27.0,22.0,,,
2.3374996185302734,Very high,Moving,Very high,High,,,,,,,0.40212711691856384,0.9995547533035278,0.7778767347335815
2.351855754852295,Very high,Moving,Very high,High,-3034.0,-785.0,4003.0,-28.0,-55.0,14.0,,,
2.371706008911133,Very high,Moving,Very high,High,-2724.0,-781.0,2613.0,-29.0,-62.0,-1.0,,,
2.3925657272338867,Very high,Moving,Very high,High,-2853.0,-845.0,-132.0,-28.0,-57.0,-3.0,,,
2.403917074203491,Very high,Moving,Very high,High,,,,,,,0.40810009837150574,1.0334587097167969,0.7703425288200378
2.412860155105591,Very high,Moving,Very high,High,-2984.0,-842.0,-1315.0,-29.0,-52.0,10.0,,,
2.4331982135772705,Very high,Moving,Very high,High,-2912.0,523.0,-3265.0,-20.0,13.0,14.0,,,
2.4536080360412598,Very high,Moving,Very high,High,-2613.0,945.0,-3224.0,-10.0,46.0,-14.0,,,
2.4731459617614746,Very high,Moving,Very high,High,,,,,,,0.40301764011383057,1.0792672634124756,0.7601628303527832
2.4741907119750977,Very high,Moving,Very high,High,-2414.0,728.0,-2378.0,1.0,61.0,-45.0,,,
2.494649887084961,Very high,Moving,Very high,High,-2539.0,-708.0,1164.0,14.0,31.0,-53.0,,,
2.515770673751831,Very high,Moving,Very high,High,-2328.0,-888.0,2345.0,11.0,7.0,-29.0,,,
2.535611867904663,Very high,Moving,Very high,High,-2108.0,-897.0,2480.0,3.0,-7.0,-17.0,,,
2.5379440784454346,Very high,Moving,Very high,High,,,,,,,0.41204994916915894,1.1122292280197144,0.7528379559516907
2.556326150894165,Very high,Moving,Very high,High,-1534.0,-869.0,1698.0,-5.0,-13.0,-6.0,,,
2.5777170658111572,Very high,Moving,Very high,High,-1322.0,-1078.0,1350.0,-11.0,-15.0,-2.0,,,
2.5968995094299316,Very high,Moving,Very high,High,-1278.0,-1414.0,767.0,-10.0,-16.0,-2.0,,,
2.605720281600952,Very high,Moving,Very high,High,,,,,,,0.4265182912349701,1.1520763635635376,0.7439830303192139
2.6174373626708984,Very high,Moving,Very high,High,-1269.0,-1355.0,531.0,-5.0,-11.0,-3.0,,,
