time,/ext_usb_camera/image/compressed,robogame/imu_state,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y
0.0,,,534.0,329.0,1342.0,-1.0,-1.0,-12.0
0.04514360427856445,,,729.0,8.0,1200.0,-1.0,2.0,-6.0
0.09021234512329102,,,644.0,-172.0,1194.0,0.0,7.0,0.0
0.13508391380310059,,,507.0,-348.0,1438.0,-1.0,6.0,4.0
0.18014788627624512,,,813.0,-402.0,1135.0,-1.0,10.0,7.0
0.22519731521606445,,,720.0,-359.0,1216.0,-4.0,9.0,13.0
0.27016448974609375,,,378.0,-356.0,1716.0,-7.0,5.0,11.0
0.3152744770050049,,,599.0,-530.0,2465.0,-27.0,-9.0,24.0
0.3603487014770508,,,902.0,-314.0,2516.0,-7.0,-15.0,32.0
0.4055485725402832,,,465.0,-212.0,2965.0,-27.0,-15.0,-6.0
0.4507253170013428,,,1571.0,588.0,2074.0,-11.0,-15.0,15.0
0.4955313205718994,,,423.0,561.0,1115.0,15.0,-10.0,40.0
0.544614315032959,,,-1268.0,-4.0,966.0,31.0,-2.0,2.0
0.5856211185455322,,,-1206.0,-479.0,837.0,16.0,-2.0,-64.0
0.630711555480957,,,332.0,545.0,721.0,27.0,21.0,-49.0
0.6758499145507812,,,27.0,237.0,583.0,29.0,42.0,17.0
0.7207932472229004,,,-340.0,-1003.0,445.0,12.0,35.0,50.0
0.7660305500030518,,,-327.0,-1341.0,750.0,0.0,27.0,56.0
0.8109889030456543,,,-381.0,-1179.0,751.0,-22.0,22.0,88.0
0.8559465408325195,,,166.0,-370.0,492.0,-27.0,26.0,101.0
0.9009625911712646,,,-352.0,-141.0,-408.0,-27.0,47.0,81.0
0.9461202621459961,,,486.0,-712.0,148.0,-36.0,46.0,33.0
0.9912934303283691,,,1963.0,-503.0,365.0,-36.0,31.0,-18.0
1.0361316204071045,,,2476.0,721.0,807.0,-38.0,26.0,-4.0
1.0811984539031982,,,2734.0,1574.0,664.0,-37.0,28.0,47.0
1.1263909339904785,,,2573.0,1039.0,838.0,-42.0,21.0,47.0
1.1714715957641602,,,2444.0,956.0,-199.0,-39.0,18.0,41.0
1.232778787612915,,,1569.0,916.0,708.0,-42.0,25.0,27.0
1.2779111862182617,,,1441.0,1192.0,704.0,-46.0,17.0,47.0
1.3229780197143555,,,912.0,1240.0,545.0,-43.0,14.0,45.0
